Año;Departamento;Empresa;Variable Calculada;Estrato 1;Estrato 2;Estrato 3;Estrato 4;Estrato 5;Estrato 6;Total Residencial;Industrial;Comercial;Oficial;Otros;Total No Residencial
2016;CUNDINAMARCA;CODENSA S.A. ESP;Consumo Empresa Departamento;80945963;492156626;192613299;28976008;6435483;21221573;822348952;400864310;251418717;31414702;97252652;780950381
2016;CUNDINAMARCA;DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.;Consumo Empresa Departamento;0;0;55356;0;0;0;55356;39031512;7745081;0;2845340;49621933
2016;CUNDINAMARCA;ELECTRIFICADORA DEL CARIBE S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;54837363;18102711;0;0;72940074
2016;CUNDINAMARCA;ELECTRIFICADORA DEL META S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;16978489;0;0;0;16978489
2016;CUNDINAMARCA;EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P. EMPRESA DE SERVICIOS PUBLICOS;Consumo Empresa Departamento;18892;9037;0;0;0;0;27929;0;0;2699;10980;13679
2016;CUNDINAMARCA;EMPRESA DE ENERGIA DE CUNDINAMARCA S.A. ESP;Consumo Empresa Departamento;49190268;143515259;77574480;34050961;7698470;14031599;326061037;35366599;112207655;42095001;54083499;243752754
2016;CUNDINAMARCA;EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P;Consumo Empresa Departamento;0;0;0;0;0;0;0;5860385;0;1734477;0;7594862
2016;CUNDINAMARCA;EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;298436832;28101615;863296;7381537;334783280
2016;CUNDINAMARCA;ENEL COLOMBIA S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;859991379;93266492;511119;109114323;1062883313
2016;CUNDINAMARCA;ENERGIA & AGUA SAS ESP;Consumo Empresa Departamento;0;0;0;0;0;0;0;1039093;0;0;0;1039093
2016;CUNDINAMARCA;ENERTOTAL S.A. E.S.P.;Consumo Empresa Departamento;1747;2078;51159;12245;33030;18534;118793;15013191;7542536;450579;1259590;24265896
2016;CUNDINAMARCA;GENERSA S.A.S E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;1112545;0;0;0;1112545
2016;CUNDINAMARCA;ISAGEN S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;212156769;0;0;1403003;213559772
2016;CUNDINAMARCA;ITALCOL ENERGIA S.A. ESP.;Consumo Empresa Departamento;0;0;0;0;0;0;0;2601625;0;0;0;2601625
2016;CUNDINAMARCA;LATIN AMERICAN CAPITAL CORP SA ESP;Consumo Empresa Departamento;474810;3365342;260052;458341;89623;102987;4751155;127274;1477046;1797370;10076703;13478393
2016;CUNDINAMARCA;PROFESIONALES EN ENERGÍA S.A E.S.P;Consumo Empresa Departamento;0;0;0;0;0;0;0;7105697;759331;0;702234;8567262
2016;CUNDINAMARCA;RUITOQUE S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;5032692;241125;0;1046889;6320706
2016;CUNDINAMARCA;SPECTRUM RENOVAVEIS SAS ESP;Consumo Empresa Departamento;0;0;0;0;0;0;0;651556;0;0;0;651556
2016;CUNDINAMARCA;TERPEL ENERGIA S.A.S E.S.P;Consumo Empresa Departamento;0;0;0;0;0;0;0;0;587027;0;0;587027
2016;CUNDINAMARCA;VATIA S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;523856;0;0;523856;13441826;14858592;0;4482215;32782633
2016;D.C.;AES COLOMBIA & CIA S C A E S P;Consumo Empresa Departamento;0;0;0;0;0;0;0;670592;0;0;0;670592
2016;D.C.;CELSIA COLOMBIA S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;74672412;46217232;1227990;0;122117634
2016;D.C.;CEMEX ENERGY SAS ESP;Consumo Empresa Departamento;0;0;0;0;0;0;0;3184087;0;0;0;3184087
2016;D.C.;CODENSA S.A. ESP;Consumo Empresa Departamento;240803694;1230886353;1271211109;518951563;216934752;243788091;3722575562;621668505;1740924146;199511876;427759703;2989864230
2016;D.C.;DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.;Consumo Empresa Departamento;0;259858;314834;0;0;85033;659725;82068643;70574195;2395638;328333;155366809
2016;D.C.;ELECTRIFICADORA DEL CARIBE S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;76579862;81862717;0;1057995;159500574
2016;D.C.;ELECTRIFICADORA DEL HUILA S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;0;741336;0;0;741336
2016;D.C.;EMPRESA DE ENERGIA DE CUNDINAMARCA S.A. ESP;Consumo Empresa Departamento;0;0;0;0;0;0;0;0;0;6118130;0;6118130
2016;D.C.;EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P;Consumo Empresa Departamento;0;0;0;0;0;0;0;4406353;9764368;71369104;2219571;87759396
2016;D.C.;EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;90034883;110699268;10455824;2166179;213356154
2016;D.C.;ENEL COLOMBIA S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;799851432;234715142;23872536;121910463;1180349573
2016;D.C.;ENERGIA & AGUA SAS ESP;Consumo Empresa Departamento;0;0;0;0;0;0;0;6299168;0;0;257346;6556514
2016;D.C.;ENERTOTAL S.A. E.S.P.;Consumo Empresa Departamento;68854;132981;13628;1634425;112659;261990;2224537;46173358;61190963;66263;8298123;115728707
2016;D.C.;GENERSA S.A.S E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;6965878;91540;0;0;7057418
2016;D.C.;ISAGEN S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;215978390;0;0;0;215978390
2016;D.C.;LATIN AMERICAN CAPITAL CORP SA ESP;Consumo Empresa Departamento;0;0;0;0;0;0;0;0;2637736;0;0;2637736
2016;D.C.;PROFESIONALES EN ENERGÍA S.A E.S.P;Consumo Empresa Departamento;0;0;0;0;0;0;0;0;0;0;6339995;6339995
